Metric,PC1,PC2,PC3,PC4,PC5
Proportion of Variance,0.6368058517779599,0.12997420748121602,0.10647342709843144,0.06577650989716144,0.060970003745231205
Cumulative Proportion,0.6368058517779599,0.7667800592591759,0.8732534863576074,0.9390299962547688,1
