Variable,PC1,PC2,PC3,PC4,PC5
edu_mean_years,-0.49826652339644417,-0.21926162687446912,-0.010278039678277257,-0.033562527513662566,-0.8381066336034148
imp_san_access_pct,-0.3453219308323755,-0.5535856629536617,0.667949659534605,0.12039000182998665,0.33711300426612933
log_GDP_pc,-0.4638434935081207,-0.18639339787317005,-0.6407250058066946,0.4917343853324505,0.3126907033718858
child_dep_pct,0.49504590505669455,-0.13634097043009327,0.1474469908798285,0.793227305348904,-0.2922165611292064
stunting_pct_u5,0.4150445773232089,-0.7695036671543488,-0.34852326470764,-0.33670096604688354,-0.027678484265444267
